name,lat,lon
Engelskirchen,50.988,7.409
Gummersbach,51.028,7.568
Hückeswagen,51.148999999999994,7.335
Lindlar,51.02,7.376
Marienheide,51.083999999999996,7.531000000000001
Morsbach,50.864,7.727
Nümbrecht,50.902,7.541
Radevormwald,51.203,7.355
Reichshof,50.955,7.694
Waldbröl,50.876999999999995,7.617000000000001
Wiehl,50.95,7.547000000000001
Wipperfürth,51.117,7.399
Bergisch Gladbach,50.992,7.136
Burscheid,51.086000000000006,7.114
Kürten,51.052,7.263999999999999
Leichlingen (Rhld.),51.106,7.013999999999999
Odenthal,51.033,7.117000000000001
Overath,50.933,7.282
Rösrath,50.895,7.182
Wermelskirchen,51.14,7.218
Alfter,50.736999999999995,7.013
Bad Honnef,50.644,7.229
Bornheim,50.763999999999996,6.985
Eitorf,50.77,7.45
Hennef (Sieg),50.776,7.2829999999999995
Königswinter,50.677,7.192
Lohmar,50.84,7.209
Meckenheim,50.622,7.022
Much,50.905,7.407
Neunkirchen-Seelscheid,50.855,7.334
Niederkassel,50.812,7.037999999999999
Rheinbach,50.626000000000005,6.947
Ruppichteroth,50.843999999999994,7.484
Sankt Augustin,50.773,7.185
Siegburg,50.79600000000001,7.205
Swisttal,50.691,6.922999999999999
Troisdorf,50.813,7.162000000000001
Wachtberg,50.631,7.125
Windeck,50.79,7.5760000000000005
Bottrop,51.523999999999994,6.93
Gelsenkirchen,51.511,7.096
Münster,51.961999999999996,7.627000000000001
Ahaus,52.076,7.005
Bocholt,51.838,6.6160000000000005
Borken,51.843999999999994,6.855
Gescher,51.956,7.005
Gronau (Westf.),52.211999999999996,7.019
Heek,52.118,7.103
Heiden,51.826,6.932
Isselburg,51.833999999999996,6.462999999999999
Legden,52.031000000000006,7.106
Raesfeld,51.769,6.841
Reken,51.832,7.047000000000001
Rhede,51.841,6.696000000000001
Schöppingen,52.093999999999994,7.235
Stadtlohn,51.993,6.917999999999999
Südlohn,51.943999999999996,6.8660000000000005
Velen,51.894,6.987
Vreden,52.036,6.824
Ascheberg,51.792,7.624
Billerbeck,51.978,7.291
Coesfeld,51.945,7.167000000000001
Dülmen,51.82899999999999,7.279
Havixbeck,51.976000000000006,7.414
Lüdinghausen,51.77,7.444
Nordkirchen,51.738,7.525
Nottuln,51.928000000000004,7.353
Olfen,51.708999999999996,7.38
Rosendahl,52.027,7.235
Senden,51.858000000000004,7.485
Castrop-Rauxel,51.556000000000004,7.313
Datteln,51.653,7.343
Dorsten,51.661,6.965
Gladbeck,51.573,6.992999999999999
Haltern am See,51.744,7.187
Herten,51.595,7.14
Marl,51.658,7.102
Oer-Erkenschwick,51.64,7.261
Recklinghausen,51.615,7.1979999999999995
Waltrop,51.622,7.401
Altenberge,52.04600000000001,7.466
Emsdetten,52.172,7.528
Greven,52.093,7.6129999999999995
Hörstel,52.3,7.587000000000001
Hopsten,52.383,7.603
Horstmar,52.081,7.305
Ibbenbüren,52.275,7.715
Ladbergen,52.137,7.737
Laer,52.053999999999995,7.355
Lengerich,52.19,7.853
Lienen,52.147,7.976
Lotte,52.275,7.915
Metelen,52.144,7.212000000000001
Mettingen,52.316,7.779
Neuenkirchen,52.245,7.372999999999999
Nordwalde,52.083999999999996,7.481
Ochtrup,52.208999999999996,7.189
Recke,52.371,7.718999999999999
Rheine,52.278999999999996,7.439
Saerbeck,52.173,7.6339999999999995
Steinfurt,52.13399999999999,7.356
Tecklenburg,52.218999999999994,7.814
Westerkappeln,52.315,7.877999999999999
Wettringen,52.208999999999996,7.319
Ahlen,51.763000000000005,7.89
Beckum,51.756,8.043
Beelen,51.93,8.118
Drensteinfurt,51.797,7.742000000000001
Ennigerloh,51.835,8.024
Everswinkel,51.926,7.848
Oelde,51.827,8.146
Ostbevern,52.036,7.8389999999999995
Sassenberg,51.988,8.041
Sendenhorst,51.845,7.827000000000001
Telgte,51.983000000000004,7.784
Wadersloh,51.736999999999995,8.246
Warendorf,51.951,7.9879999999999995
Bielefeld,52.021,8.532
Borgholzhausen,52.102,8.301
Gütersloh,51.91,8.381
Halle (Westf.),52.06100000000001,8.362
Harsewinkel,51.963,8.228
Herzebrock-Clarholz,51.894,8.22
Langenberg,51.776,8.32
Rheda-Wiedenbrück,51.85,8.302
Rietberg,51.808,8.427
Schloß Holte-Stukenbrock,51.906000000000006,8.631
Steinhagen,52.006,8.414
Verl,51.882,8.508
Versmold,52.04,8.155
Werther (Westf.),52.073,8.411
Bünde,52.198,8.584
Enger,52.138999999999996,8.559
Herford,52.11600000000001,8.674
Hiddenhausen,52.166000000000004,8.616
Kirchlengern,52.198,8.642000000000001
Löhne,52.19,8.687999999999999
Rödinghausen,52.253,8.479
Spenge,52.138999999999996,8.482999999999999
Vlotho,52.165,8.86
Bad Driburg,51.736000000000004,9.017000000000001
Beverungen,51.663000000000004,9.373
Borgentreich,51.571999999999996,9.24
Brakel,51.717,9.184
Höxter,51.776,9.382
Marienmünster,51.828,9.209
Nieheim,51.803999999999995,9.11
Steinheim,51.867,9.097000000000001
Warburg,51.489,9.146
Willebadessen,51.625,9.029
Augustdorf,51.909,8.745
Bad Salzuflen,52.083999999999996,8.747
Barntrup,51.99,9.116
Blomberg,51.943000000000005,9.091000000000001
Detmold,51.935,8.879
Dörentrup,52.033,9.006
Extertal,52.09,9.086
Horn-Bad Meinberg,51.886,8.972999999999999
Kalletal,52.113,8.947000000000001
Lage,51.99100000000001,8.793
Lemgo,52.028,8.901
Leopoldshöhe,52.012,8.699
Lügde,51.958,9.246
Oerlinghausen,51.952,8.661
Schieder-Schwalenberg,51.888999999999996,9.18
Schlangen,51.809,8.843
Bad Oeynhausen,52.205,8.806000000000001
Espelkamp,52.376999999999995,8.633
Hille,52.336999999999996,8.744
Hüllhorst,52.272,8.672
Lübbecke,52.303000000000004,8.617
Minden,52.288000000000004,8.915
Petershagen,52.378,8.97
Porta Westfalica,52.23,8.915
Preußisch Oldendorf,52.306000000000004,8.496
Rahden,52.433,8.613
Stemwede,52.415,8.476
Altenbeken,51.761,8.945
Bad Lippspringe,51.783,8.818999999999999
Borchen,51.668,8.722999999999999
Büren,51.555,8.56
Delbrück,51.765,8.562999999999999
Hövelhof,51.82,8.658999999999999
Lichtenau,51.617,8.896
Paderborn,51.72,8.757
Salzkotten,51.67100000000001,8.605
Bad Wünnenberg,51.516999999999996,8.698
Bochum,51.483000000000004,7.2170000000000005
Dortmund,51.513999999999996,7.4639999999999995
Hagen,51.36,7.4670000000000005
Hamm,51.678000000000004,7.817
Herne,51.54,7.223
Breckerfeld,51.261,7.465
Ennepetal,51.298,7.356
Gevelsberg,51.324,7.337000000000001
Hattingen,51.398999999999994,7.184
Herdecke,51.398999999999994,7.43
Schwelm,51.284,7.292000000000001
Sprockhövel,51.361000000000004,7.244
Wetter (Ruhr),51.38399999999999,7.391
Witten,51.43899999999999,7.337000000000001
Arnsberg,51.396,8.065
Bestwig,51.361000000000004,8.398
Brilon,51.395,8.568
Eslohe (Sauerland),51.257,8.175
Hallenberg,51.111999999999995,8.621
Marsberg,51.46,8.855
Medebach,51.198,8.705
Meschede,51.347,8.285
Olsberg,51.356,8.472999999999999
Schmallenberg,51.153999999999996,8.285
Sundern (Sauerland),51.33,8.006
Winterberg,51.193999999999996,8.533999999999999
Altena,51.298,7.669
Balve,51.331,7.864
Halver,51.187,7.499
Hemer,51.385,7.765
Herscheid,51.177,7.746
Iserlohn,51.375,7.699
Kierspe,51.136,7.586
Lüdenscheid,51.216,7.6339999999999995
Meinerzhagen,51.107,7.638
Menden (Sauerland),51.43899999999999,7.795
Nachrodt-Wiblingwerde,51.332,7.643
Neuenrade,51.282,7.78
Plettenberg,51.211999999999996,7.874
Schalksmühle,51.24100000000001,7.529
Werdohl,51.26,7.767
Attendorn,51.125,7.905
Drolshagen,51.025,7.776
Finnentrop,51.168,7.973
Kirchhundem,51.086000000000006,8.09
Lennestadt,51.114,8.075
Olpe,51.028,7.843999999999999
Wenden,50.968999999999994,7.872999999999999
Bad Berleburg,51.05,8.392999999999999
Burbach,50.746,8.08
Erndtebrück,50.989,8.256
Freudenberg,50.902,7.882999999999999
Hilchenbach,50.996,8.113
Kreuztal,50.961999999999996,7.9879999999999995
Bad Laasphe,50.927,8.412
Netphen,50.913999999999994,8.092
Neunkirchen,50.788000000000004,7.992999999999999
Siegen,50.875,8.025
Wilnsdorf,50.815,8.104
Anröchte,51.56100000000001,8.327
Bad Sassendorf,51.586000000000006,8.164
Ense,51.501000000000005,7.975
Erwitte,51.611000000000004,8.336
Geseke,51.64,8.508
Lippetal,51.656000000000006,8.091000000000001
Lippstadt,51.672,8.347000000000001
Möhnesee,51.501000000000005,8.107000000000001
Rüthen,51.49100000000001,8.431000000000001
Soest,51.573,8.106
Warstein,51.443000000000005,8.354
Welver,51.619,7.957999999999999
Werl,51.553000000000004,7.915
Wickede (Ruhr),51.496,7.87
Bergkamen,51.61600000000001,7.643
Bönen,51.598,7.763
Fröndenberg/Ruhr,51.473,7.767
Holzwickede,51.503,7.617999999999999
Kamen,51.592,7.662000000000001
Lünen,51.614,7.524
Schwerte,51.441,7.569
Selm,51.69,7.465
Unna,51.535,7.69
Werne,51.663000000000004,7.635
